Fx,Fy,Fz,Tx,Ty,Tz,V
1.281,-0.042,-0.502,0.000,0.082,0.001,10.048
1.236,-0.037,-0.421,0.001,0.086,-0.001,10.023
1.139,-0.014,-0.516,0.001,0.091,-0.007,10.031
1.214,-0.054,-0.541,0.001,0.086,-0.003,10.026
1.192,-0.018,-0.494,-0.001,0.085,-0.001,10.017
1.200,-0.038,-0.414,0.001,0.087,-0.005,10.046
1.212,-0.052,-0.559,-0.001,0.088,-0.005,10.018
1.221,-0.040,-0.498,0.002,0.086,-0.000,10.012
1.229,-0.053,-0.441,0.001,0.085,-0.006,10.000
1.114,-0.041,-0.598,0.001,0.092,-0.005,10.022
1.240,-0.043,-0.505,0.000,0.084,-0.004,10.005
1.204,-0.016,-0.431,-0.000,0.084,-0.006,10.021
1.183,-0.050,-0.481,0.002,0.087,-0.004,10.040
1.281,-0.057,-0.548,0.001,0.084,-0.002,10.033
1.152,-0.032,-0.516,0.001,0.088,-0.002,10.027
1.201,-0.030,-0.438,0.003,0.087,-0.006,10.042
1.181,-0.045,-0.562,0.002,0.088,-0.002,10.042
1.213,-0.065,-0.566,0.002,0.089,-0.004,10.077
1.276,-0.039,-0.419,0.000,0.084,-0.004,10.046
1.121,-0.020,-0.512,-0.001,0.090,-0.003,10.036
1.186,-0.050,-0.574,-0.001,0.086,-0.002,10.063
1.222,-0.041,-0.541,0.001,0.086,-0.004,10.038
1.217,-0.028,-0.404,-0.000,0.085,-0.003,10.035
1.172,-0.044,-0.565,0.001,0.087,-0.003,10.024
1.306,-0.050,-0.495,0.001,0.082,-0.002,10.032
1.169,-0.038,-0.467,0.002,0.087,-0.006,10.025
1.162,-0.061,-0.512,0.004,0.091,-0.006,10.047
1.170,-0.052,-0.568,0.001,0.089,-0.003,10.050
1.217,-0.025,-0.446,0.001,0.083,-0.004,10.033
1.193,-0.025,-0.472,0.001,0.087,-0.005,10.058
1.218,-0.044,-0.580,-0.000,0.086,-0.002,10.053
1.218,-0.027,-0.458,-0.001,0.083,-0.001,10.044
1.194,-0.037,-0.467,-0.001,0.089,-0.005,10.032
1.172,-0.015,-0.585,-0.000,0.087,-0.003,10.043
1.218,-0.018,-0.523,-0.002,0.087,0.000,10.059
1.208,-0.025,-0.479,-0.001,0.086,-0.002,10.025
1.189,-0.030,-0.499,0.005,0.089,-0.003,10.028
1.211,-0.058,-0.585,0.001,0.087,-0.005,10.041
1.201,-0.017,-0.446,-0.000,0.086,-0.005,10.064
1.205,-0.053,-0.524,0.001,0.086,-0.005,10.047
1.219,-0.039,-0.572,0.002,0.087,-0.004,10.049
1.248,-0.033,-0.483,0.000,0.084,-0.004,10.058
1.173,-0.029,-0.460,0.001,0.089,-0.005,10.058
1.223,-0.030,-0.479,0.004,0.088,-0.003,10.042
1.223,-0.048,-0.577,-0.002,0.087,-0.006,10.064
1.221,-0.006,-0.463,-0.001,0.086,-0.003,10.052
1.167,-0.033,-0.512,-0.003,0.088,-0.005,10.045
1.229,-0.046,-0.564,-0.001,0.085,-0.002,10.064
1.248,-0.043,-0.539,0.002,0.083,-0.003,10.058
1.165,-0.043,-0.513,0.002,0.090,-0.005,10.036
1.172,-0.043,-0.534,0.004,0.089,-0.005,10.033
1.185,-0.067,-0.655,0.000,0.087,-0.004,10.059
1.224,-0.026,-0.433,0.001,0.083,-0.004,10.041
1.208,-0.048,-0.469,0.000,0.085,-0.004,10.035
1.216,-0.045,-0.543,0.004,0.087,-0.003,10.035
1.220,-0.052,-0.476,0.001,0.088,-0.006,10.031
1.127,-0.035,-0.462,0.001,0.091,-0.005,10.031
1.217,-0.048,-0.503,0.001,0.086,-0.001,10.031
1.272,-0.043,-0.492,0.002,0.081,-0.003,10.044
1.167,-0.039,-0.406,0.002,0.086,-0.005,10.022
1.145,-0.036,-0.497,-0.000,0.091,-0.004,10.027
1.259,-0.040,-0.538,0.000,0.086,-0.004,10.034
1.166,-0.044,-0.501,0.001,0.088,-0.003,10.036
1.189,-0.010,-0.445,0.000,0.087,-0.004,10.036
1.193,-0.028,-0.478,-0.002,0.087,-0.004,10.037
1.225,-0.038,-0.542,0.000,0.086,-0.003,10.045
1.164,-0.020,-0.548,0.001,0.089,-0.005,10.082
1.215,-0.028,-0.461,-0.001,0.084,-0.007,10.046
1.223,-0.007,-0.469,-0.001,0.085,-0.001,10.043
1.180,-0.053,-0.548,0.002,0.090,-0.003,10.014
1.220,-0.032,-0.564,0.001,0.084,-0.006,10.022
1.217,-0.029,-0.426,0.003,0.085,-0.004,10.014
1.231,-0.047,-0.487,0.000,0.084,-0.003,10.021
1.183,-0.040,-0.593,0.003,0.089,-0.005,10.027
1.167,-0.039,-0.521,0.002,0.088,-0.004,10.026
1.261,-0.037,-0.418,0.004,0.082,-0.002,10.043
1.192,-0.052,-0.445,0.004,0.088,-0.004,10.023
1.257,-0.042,-0.553,0.001,0.082,-0.006,10.007
1.165,-0.031,-0.458,0.001,0.089,-0.002,10.031
1.154,-0.031,-0.438,-0.001,0.087,-0.003,10.010
1.125,-0.044,-0.548,0.000,0.091,-0.008,10.007
1.288,-0.055,-0.501,0.002,0.083,-0.002,10.015
1.217,-0.045,-0.498,-0.000,0.086,-0.004,10.021
1.159,-0.024,-0.450,0.001,0.090,-0.007,10.034
1.209,-0.047,-0.488,0.004,0.085,-0.004,10.016
1.267,-0.046,-0.521,0.003,0.082,-0.003,10.019
1.197,-0.048,-0.531,0.000,0.087,-0.006,10.036
1.167,-0.012,-0.455,0.001,0.089,-0.007,10.049
1.193,-0.039,-0.502,0.004,0.085,-0.003,10.037
1.203,-0.049,-0.591,-0.000,0.087,-0.004,10.022
1.183,-0.013,-0.501,0.001,0.085,-0.005,10.026
1.193,-0.036,-0.470,-0.001,0.086,-0.001,10.030
1.236,-0.023,-0.534,-0.002,0.088,-0.002,10.032
1.196,-0.043,-0.531,0.002,0.086,-0.007,10.038
1.260,-0.023,-0.446,-0.001,0.084,-0.004,10.038
1.157,-0.031,-0.530,0.002,0.088,0.001,10.056
1.284,-0.064,-0.557,0.004,0.081,-0.007,10.035
1.163,-0.032,-0.517,0.004,0.090,-0.006,10.046
1.178,-0.064,-0.444,0.005,0.087,-0.004,10.016
1.141,-0.033,-0.582,0.001,0.093,-0.006,10.021
1.276,-0.045,-0.499,0.001,0.082,-0.001,10.023
1.141,-0.038,-0.505,-0.001,0.090,-0.006,10.035
